City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-43.9535,9.29,58,100,1.78,NZ,1691388354
1,cidreira,-30.1811,-30.1811,18.73,73,41,2.14,BR,1691388355
2,papatowai,-46.5619,-46.5619,5.11,90,100,6.91,NZ,1691388356
3,udachny,66.4167,66.4167,19.14,48,98,3.8,RU,1691388357
4,sassandra,4.95,4.95,23.31,93,96,1.93,CI,1691388357
5,aykhal,66.0,66.0,19.42,32,99,4.4,RU,1691388358
6,magadan,59.5667,59.5667,17.52,53,81,0.21,RU,1691388325
7,port elizabeth,-33.918,-33.918,13.97,77,15,1.79,ZA,1691388330
8,skierniewice,51.9548,51.9548,13.06,74,100,8.0,PL,1691388361
9,puerto santa,-8.9906,-8.9906,19.23,83,80,3.89,PE,1691388361
10,canutama,-6.5339,-6.5339,24.56,60,49,0.98,BR,1691388362
11,winnemucca,40.973,40.973,21.03,32,0,3.6,US,1691388363
12,freeport,40.6576,40.6576,24.65,85,40,4.12,US,1691388173
13,severo-yeniseyskiy,60.3725,60.3725,13.44,84,100,3.59,RU,1691388365
14,campbell river,50.0163,50.0163,18.11,97,89,1.13,CA,1691388366
15,hamilton,39.1834,39.1834,22.56,87,20,3.09,US,1691388367
16,champerico,14.3,14.3,27.89,81,64,3.02,GT,1691388368
17,avarua,-21.2078,-21.2078,21.03,94,75,1.54,CK,1691388369
18,sharypovo,55.5403,55.5403,19.56,50,100,0.59,RU,1691388369
19,thompson,55.7435,55.7435,9.52,94,7,2.05,CA,1691388370
20,nsanje,-16.92,-16.92,21.6,73,7,1.34,MW,1691388370
21,klyuchi,52.2667,52.2667,25.25,32,31,4.3,RU,1691388371
22,sao vicente,-23.9631,-23.9631,25.15,26,0,2.06,BR,1691388372
23,karbala,32.616,32.616,38.08,22,0,7.71,IQ,1691388372
24,bethel,41.3712,41.3712,22.58,83,100,2.06,US,1691388373
25,awjilah,29.1081,29.1081,25.44,64,1,5.53,LY,1691388374
26,adamstown,-25.066,-25.066,20.84,67,18,7.1,PN,1691388374
27,puerto natales,-51.7236,-51.7236,-0.99,83,93,1.89,CL,1691388375
28,ust-nera,64.5667,64.5667,13.73,31,16,3.02,RU,1691388375
29,yellowknife,62.456,62.456,12.9,63,100,3.23,CA,1691388376
30,labytnangi,66.6572,66.6572,26.07,46,0,1.34,RU,1691388377
31,santa rosa,14.3122,14.3122,31.68,68,51,8.04,PH,1691388377
32,talnakh,69.4865,69.4865,24.56,34,0,1.29,RU,1691388378
33,ad dilam,23.9915,23.9915,38.73,15,4,3.94,SA,1691388379
34,lompoc,34.6391,34.6391,17.08,95,100,0.45,US,1691388379
35,edinburgh of the seven seas,-37.0676,-37.0676,11.44,59,19,10.87,SH,1691388380
36,acarau,-2.8856,-2.8856,25.77,81,71,7.41,BR,1691388380
37,new norfolk,-42.7826,-42.7826,15.51,58,100,0.94,AU,1691388381
38,whitehorse,60.7161,60.7161,19.45,59,40,2.16,CA,1691388326
39,erdenet,49.0333,49.0333,19.82,68,52,2.18,MN,1691388382
40,port-aux-francais,-49.35,-49.35,5.85,93,100,14.97,TF,1691388383
41,qaqortoq,60.7167,60.7167,4.55,93,31,0.38,GL,1691388383
42,lihue,21.9789,21.9789,26.77,76,75,6.69,US,1691388384
43,yarmouth,41.7057,41.7057,22.22,88,0,4.12,US,1691388385
44,jamestown,42.097,42.097,22.77,100,100,3.09,US,1691388385
45,poronaysk,49.2167,49.2167,19.56,67,0,4.97,RU,1691388386
46,shiyan,32.6475,32.6475,35.78,60,80,3.28,CN,1691388386
47,aleg,17.0481,17.0481,27.13,62,100,6.35,MR,1691388387
48,iqaluit,63.7506,63.7506,4.2,83,92,0.43,CA,1691388387
49,port alfred,-33.5906,-33.5906,15.59,76,1,1.08,ZA,1691388388
50,port arthur,38.8,38.8,28.12,66,31,7.12,CN,1691388389
51,moose jaw,50.4001,50.4001,18.64,38,36,1.61,CA,1691388389
52,port mathurin,-19.6833,-19.6833,22.03,65,82,9.87,MU,1691388390
53,margaret river,-33.95,-33.95,16.18,67,23,6.02,AU,1691388351
54,nagqu,31.5,31.5,16.64,48,74,3.86,CN,1691388391
55,saveh,35.0213,35.0213,34.24,20,50,4.35,IR,1691388392
56,bardai,11.65,11.65,20.62,94,99,3.64,NG,1691388393
57,invercargill,-46.4,-46.4,6.12,85,99,3.58,NZ,1691388322
58,luderitz,-26.6481,-26.6481,16.14,61,0,3.62,NA,1691388394
59,greeneville,36.1632,36.1632,23.08,97,100,0.89,US,1691388394
60,la passe,45.5549,45.5549,13.88,87,3,1.66,FR,1691388395
61,iskateley,67.6803,67.6803,12.74,83,100,6.18,RU,1691388396
62,klyavlino,54.2649,54.2649,25.23,44,4,5.45,RU,1691388397
63,tofol,5.3248,5.3248,28.88,70,75,1.54,FM,1691388397
64,blackmans bay,-43.0167,-43.0167,14.85,62,99,0.17,AU,1691388398
65,college,64.8569,64.8569,22.67,63,75,2.06,US,1691388398
66,nar'yan-mar,67.6713,67.6713,13.47,77,100,6.24,RU,1691388399
67,kaa-khem,51.6833,51.6833,25.47,38,34,1.55,RU,1691388400
68,ilulissat,69.2167,69.2167,9.01,46,32,7.2,GL,1691388401
69,juneau,58.3019,58.3019,18.0,100,75,5.14,US,1691388402
70,grytviken,-54.2811,-54.2811,-4.39,95,100,6.52,GS,1691388402
71,constitucion,-35.3333,-35.3333,10.77,86,0,2.43,CL,1691388403
72,carnarvon,-24.8667,-24.8667,26.27,44,63,2.7,AU,1691388404
